"Action","Id","Fakultas Id","Jenjang Id","Kode Prodi","Prodi","Kaprodi"
"","5","Sekolah Vokasi","D3","SV001","Teknik Informatika","Bu Hartatik"
"","4","FMIPA","S1","FMIPA001","Kimia","Pak Purnomo"
